nome,n1,n2,n3,n4,n5
Maria Luiza Correia,7,5,5,6,4
Maria Mendes,3,7,3,2,1
João Carlos Silva,6,8,7,9,5
Ana Paula Santos,10,9,8,7,6
Carlos Alberto,4,6,7,8,5
Fernanda Lima,9,8,9,10,7
Paulo Ricardo,3,4,5,6,7
Beatriz Almeida,8,7,6,9,10
Rodrigo Ferreira,5,6,7,8,9
Camila Oliveira,7,7,6,8,5
Pedro Henrique,4,5,6,7,8
Clara Souza,10,10,9,8,7
Lucas Martins,6,5,4,3,2
Patrícia Carvalho,8,9,7,10,6
Gustavo Moreira,7,8,6,5,9
Isabela Rocha,9,9,10,8,7
Rafael Castro,5,6,7,4,3
Juliana Freitas,10,9,8,6,7
Victor Hugo,6,8,9,7,5
Livia Mendes,7,6,5,8,9
Henrique Almeida,9,8,10,7,6
Luana Silva,5,7,8,9,6
Marcos Vinicius,4,6,8,7,5
Aline Santana,10,9,7,8,6
Ricardo Pereira,6,7,5,4,3
Tatiana Lopes,8,9,6,7,10
Thiago Melo,5,6,7,8,9
Gabriela Costa,7,8,9,6,5
Eduardo Santos,4,5,6,7,8
Renata Ribeiro,10,10,9,8,7
André Oliveira,6,7,8,9,10
Sofia Nascimento,7,6,5,8,9
Fábio Teixeira,8,9,7,10,6
Bruna Moraes,5,6,7,4,3
Felipe Andrade,9,8,6,7,10
